artist,track_name,album_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,clusters_km,clusters_agg,clusters_ms
YT,Nuttin but the Rent,Nuttin but the Rent,0.022,0.797,0.715,0.0,0.368,-6.78,0.309,80.011,0.844,4,0,0
Horseman,The Yout,Dawn of the Dread,0.0532,0.857,0.725,0.0,0.0579,-6.865,0.271,82.997,0.736,4,0,0
grandson,Despicable,a modern tragedy vol. 1,0.0123,0.576,0.782,0.00241,0.467,-6.167,0.0346,87.971,0.367,6,4,0
grandson,Rain (from The Suicide Squad),Rain (from The Suicide Squad),0.0135,0.483,0.643,7.04e-05,0.361,-6.872,0.0404,125.938,0.219,2,6,0
grandson,Darkside,a modern tragedy vol. 2,0.000568,0.497,0.701,0.000287,0.352,-6.834,0.119,76.918,0.18,6,4,0
grandson,Bury Me Face Down,Bury Me Face Down,0.0187,0.39,0.629,4.12e-05,0.0658,-4.876,0.0469,141.983,0.162,2,6,0
The Warning,CHOKE (with grandson & Zero 9:36),CHOKE,0.00498,0.402,0.94,0.0,0.725,-3.464,0.232,174.997,0.388,6,4,6
Cigarettes After Sex,Pistol,Pistol,0.522,0.653,0.442,0.699,0.107,-11.727,0.0337,109.971,0.363,5,2,0
Cat Burns,we're not kids anymore,emotionally unavailable,0.912,0.816,0.213,4.02e-06,0.0916,-12.952,0.0529,121.916,0.323,3,1,0
Weyes Blood,"It's Not Just Me, It's Everybody","And In The Darkness, Hearts Aglow",0.858,0.426,0.342,0.0172,0.258,-11.531,0.0265,74.853,0.155,1,3,1
Billie Eilish,ilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0.724,0.855,0.423,0.469,0.0896,-15.044,0.0585,120.02,0.572,3,3,0
Insincere,Angels Don't Fuck,Angels Don't Fuck,0.612,0.616,0.439,9.95e-06,0.389,-15.542,0.0649,75.052,0.685,3,1,0
tomcbumpz,collide,sidereal crumbs,0.581,0.854,0.166,0.019,0.214,-16.914,0.124,100.05,0.433,3,1,0
WHIPPED CREAM,Child,Child,0.16,0.382,0.587,0.0,0.108,-6.36,0.0397,79.676,0.302,3,1,0
IMANU,Somehow We Lost It All,Unfold,0.331,0.7,0.704,0.000932,0.11,-6.529,0.0755,120.031,0.196,3,1,0
EKKSTACY,i walk this earth all by myself,NEGATIVE,0.507,0.595,0.588,0.781,0.113,-11.313,0.0624,166.061,0.518,5,1,0
Fantan Mojah,Rasta Got Soul,Soul Rasta,0.201,0.872,0.688,0.0,0.385,-4.023,0.122,96.988,0.885,0,5,0
Cold War Kids,What You Say,New Age Norms 3,0.0128,0.687,0.814,1.44e-05,0.36,-5.678,0.0511,116.936,0.631,0,5,0
Portugal. The Man,Feel It Still,Woodstock,0.0417,0.801,0.795,0.000113,0.0717,-5.115,0.0504,79.028,0.754,0,5,0
COIN,Chapstick,Uncanny Valley,0.00855,0.803,0.636,0.000461,0.101,-6.456,0.0464,115.041,0.767,0,5,0
Portugal. The Man,"What, Me Worry?","What, Me Worry?",0.0682,0.722,0.889,4.77e-06,0.124,-2.564,0.0416,139.965,0.743,0,5,0
Foster The People,Pumped Up Kicks - Gus Dapperton Version,Torches X (Deluxe Edition),0.00861,0.646,0.832,0.281,0.312,-6.817,0.0938,128.056,0.594,0,5,0
Damian Marley,Stand A Chance,Halfway Tree,0.0153,0.648,0.796,0.0,0.0709,-5.572,0.229,100.91,0.725,0,5,0
JVLY,swim,swim,0.244,0.758,0.435,0.0251,0.348,-10.999,0.149,89.968,0.797,3,1,0
The Viceroys,Why,"Iroko Showcase, Vol. 2: Memories",0.0168,0.869,0.641,0.000824,0.0624,-6.218,0.0401,134.0,0.932,0,5,0
Noah Slee,Switch Off,Switch Off,0.727,0.573,0.365,3.32e-05,0.106,-10.144,0.32,75.055,0.255,3,1,2
Gramatik,Still Doin' It,Still Doin' It,2.25e-05,0.657,0.8,0.729,0.159,-3.527,0.0316,91.987,0.504,5,2,0
Galdive,A Friend,A Friend,0.339,0.678,0.559,0.149,0.102,-7.548,0.0837,83.945,0.787,0,1,0
Angèle,Patrick,Nonante-Cinq La Suite,0.0182,0.79,0.638,1.25e-05,0.0973,-5.533,0.111,96.026,0.218,0,1,0
Matata,Not Today,Super Morio,0.0299,0.72,0.807,0.0,0.33,-5.105,0.109,171.995,0.795,0,5,0
Document One,Tongue Tied,Tongue Tied,0.000348,0.525,0.981,0.535,0.0808,-0.741,0.131,171.984,0.0853,2,6,3
Sofi Tukker,Original Sin - James Patterson Remix,Original Sin (James Patterson Remix),0.00649,0.785,0.829,0.563,0.0769,-3.896,0.108,124.001,0.74,0,2,0
Trüby Trio,A Festa,Elevator Music,0.0153,0.756,0.905,0.248,0.0785,-4.832,0.0774,175.978,0.376,2,6,0
Brother Culture,Heal Them,Code Name,0.0878,0.891,0.624,7.58e-06,0.298,-9.479,0.0773,140.07,0.673,0,5,0
Anthony B,Sound Killer,Sound Killer,0.0102,0.757,0.506,0.0,0.105,-7.125,0.417,86.062,0.378,4,0,0
The Late Ones,Thunder & Sun,The Fourth Quarter,0.127,0.739,0.566,1.04e-06,0.0714,-10.214,0.299,94.527,0.759,4,0,0
Little Lion Sound,Mr. Lover,Kingston Journey,0.0422,0.817,0.543,0.0,0.318,-8.127,0.305,140.01,0.443,4,0,0
The Four Owls,Coming Home,Nocturnal Instinct,0.125,0.769,0.901,0.0,0.442,-5.599,0.319,93.972,0.823,4,0,0
Degiheugi,Favelas,Foreglow,0.494,0.795,0.799,0.17,0.31,-8.249,0.0702,104.007,0.543,0,5,0
Soom T,Close Your Eyes,Born Again,0.234,0.802,0.781,0.0,0.131,-4.494,0.32,88.916,0.703,4,0,0
SUB-TRIBE,Unbelievable,SUB-TRIBE - EP,0.0394,0.885,0.525,0.00126,0.0789,-6.492,0.121,150.07,0.713,0,1,0
Shumba Youth,Right Way - Aries & Nicky Blackmarket Remix,Right Way (Aries & Nicky Blackmarket Remix),0.00788,0.792,0.864,0.000391,0.0794,-4.707,0.22,173.993,0.484,2,0,0
NEONE the Wonderer,Nose Dive,Nose Dive,0.0861,0.788,0.705,0.05,0.0794,-5.989,0.0331,133.92,0.855,0,5,0
Chezidek,Champion,Champion,0.0197,0.894,0.51,0.0,0.144,-7.266,0.408,86.01,0.484,4,0,0
